id,inventoryState,lastConnection,groupName
ISKIE075918,installed,1725897707,Mejia TPS Domestic
ISKIE075801,installed,1725897707,Mejia TPS Domestic
ISKIE074926,installed,,Mejia TPS Domestic
ISKIE075788,installed,1725897707,Mejia TPS Domestic
ISKIE075813,installed,1725897708,Mejia TPS Domestic
ISKIE075267,installed,1725091293,Mejia TPS Domestic
ISKIE067800,installed,1725897708,Mejia TPS Domestic
ISKIE067370,installed,1725897709,Mejia TPS Domestic
ISKIE075033,installed,1725897709,Mejia TPS Domestic
ISKIE075795,installed,1725897709,Mejia TPS Domestic
ISKIE076092,installed,1725897710,Mejia TPS Domestic
ISKIE075594,installed,1725897710,Mejia TPS Domestic
ISKIE075605,installed,,Mejia TPS Domestic
ISKIE075935,installed,1725897721,Mejia TPS Domestic
ISKIE075544,installed,1725897721,Mejia TPS Domestic
ISKIE067059,installed,1725897722,Mejia TPS Domestic
ISKIE067475,installed,,Mejia TPS Domestic
ISKIE074887,installed,1725897722,Mejia TPS Domestic
ISKIE075254,installed,1725897723,Mejia TPS Domestic
ISKIE067180,installed,1725897723,Mejia TPS Domestic
ISKIE074981,installed,1725897723,Mejia TPS Domestic
ISKIE075003,installed,1725897724,Mejia TPS Domestic
ISKIE075957,installed,1725523563,Mejia TPS Domestic
ISKIE075793,installed,1725897724,Mejia TPS Domestic
ISKIE075004,installed,1725897725,Mejia TPS Domestic
ISKIE076091,installed,1725897725,Mejia TPS Domestic
ISKIE074982,installed,1725897725,Mejia TPS Domestic
ISKIE075712,installed,1725897726,Mejia TPS Domestic
ISKIE075769,installed,1725897726,Mejia TPS Domestic
ISKIE074838,installed,1725897726,Mejia TPS Domestic
ISKIE075595,installed,1725897737,Mejia TPS Domestic
ISKIE075805,installed,1725897737,Mejia TPS Domestic
ISKIE067491,installed,1725897738,Mejia TPS Domestic
ISKIE075798,installed,1725897738,Mejia TPS Domestic
ISKIE075606,installed,1725869075,Mejia TPS Domestic
ISKIE076198,installed,1725897739,Mejia TPS Domestic
ISKIE067061,installed,1725897739,Mejia TPS Domestic
ISKIE067474,installed,1725897739,Mejia TPS Domestic
ISKIE075161,installed,1725897740,Mejia TPS Domestic
ISKIE074978,installed,1725897740,Mejia TPS Domestic
ISKIE075005,uninstalled,1724272328,Mejia TPS Domestic
ISKIE075956,installed,1725897752,Mejia TPS Domestic
ISKIE075143,installed,1725897752,Mejia TPS Domestic
ISKIE075794,installed,1725897752,Mejia TPS Domestic
ISKIE076088,installed,1725897826,Mejia TPS Domestic
ISKIE076090,installed,1725897838,Mejia TPS Domestic
ISKIE075734,installed,1725897838,Mejia TPS Domestic
ISKIE075422,installed,1725897838,Mejia TPS Domestic
ISKIE067492,installed,1725897838,Mejia TPS Domestic
ISKIE075603,installed,1725782690,Mejia TPS Domestic
ISKIE075900,installed,1725782690,Mejia TPS Domestic
ISKIE075934,installed,1725897839,Mejia TPS Domestic
ISKIE075929,installed,1725897840,Mejia TPS Domestic
ISKIE074927,installed,1725523587,Mejia TPS Domestic
ISKIE067594,installed,1725897851,Mejia TPS Domestic
ISKIE075711,installed,1725897851,Mejia TPS Domestic
ISKIE075835,installed,1725897851,Mejia TPS Domestic
ISKIE067813,installed,1725897852,Mejia TPS Domestic
ISKIE074839,installed,1725897852,Mejia TPS Domestic
ISKIE075806,installed,1725897852,Mejia TPS Domestic
ISKIE067610,installed,1725523593,Mejia TPS Domestic
ISKIE067391,installed,1725897853,Mejia TPS Domestic
ISKIE067595,installed,1722873317,Mejia TPS Domestic
ISKIE067651,installed,1725523595,Mejia TPS Domestic
ISKIE067148,installed,,Mejia TPS Domestic
ISKIE067267,installed,1725782711,Mejia TPS Domestic
ISKIE067095,installed,1725897855,Mejia TPS Domestic
ISKIE067404,installed,1725897855,Mejia TPS Domestic
ISKIE067765,installed,1725897855,Mejia TPS Domestic
ISKIE067599,installed,1725897856,Mejia TPS Domestic
ISKIE067612,installed,1725897856,Mejia TPS Domestic
ISKIE067406,installed,,Mejia TPS Domestic
ISKIE067280,installed,1725523477,Mejia TPS Domestic
ISKIE067108,installed,,Mejia TPS Domestic
ISKIE067767,installed,1725869108,Mejia TPS Domestic
ISKIE067388,installed,,Mejia TPS Domestic
ISKIE067405,installed,1725897873,Mejia TPS Domestic
ISKIE067766,installed,1725696413,Mejia TPS Domestic
ISKIE067660,installed,1725897913,Mejia TPS Domestic
ISKIE067113,installed,1723622702,Mejia TPS Domestic
ISKIE067230,installed,1725897914,Mejia TPS Domestic
ISKIE067649,installed,1725897924,Mejia TPS Domestic
ISKIE067278,installed,1725897925,Mejia TPS Domestic
ISKIE067497,installed,1725897925,Mejia TPS Domestic
ISKIE067263,installed,1725897925,Mejia TPS Domestic
ISKIE067590,installed,1725897926,Mejia TPS Domestic
ISKIE067264,installed,1725897926,Mejia TPS Domestic
ISKIE067384,installed,1725897927,Mejia TPS Domestic
ISKIE067266,installed,1725897927,Mejia TPS Domestic
ISKIE067079,installed,1725782848,Mejia TPS Domestic
ISKIE067438,installed,1725897928,Mejia TPS Domestic
ISKIE067677,installed,1725897928,Mejia TPS Domestic
ISKIE067259,installed,1725897939,Mejia TPS Domestic
ISKIE067330,installed,1725897939,Mejia TPS Domestic
ISKIE067589,installed,,Mejia TPS Domestic
ISKIE067358,installed,1725897940,Mejia TPS Domestic
ISKIE067713,installed,1725897940,Mejia TPS Domestic
ISKIE067114,installed,1725782853,Mejia TPS Domestic
ISKIE067635,installed,1725897940,Mejia TPS Domestic
ISKIE067675,installed,1725869255,Mejia TPS Domestic
ISKIE067135,installed,1725897951,Mejia TPS Domestic
ISKIE067449,installed,1725897952,Mejia TPS Domestic
ISKIE067567,installed,1725897952,Mejia TPS Domestic
ISKIE067565,installed,1725897952,Mejia TPS Domestic
ISKIE067634,installed,1725897952,Mejia TPS Domestic
ISKIE067714,installed,1725897953,Mejia TPS Domestic
ISKIE067563,installed,1725897953,Mejia TPS Domestic
ISKIE067717,installed,1725897953,Mejia TPS Domestic
ISKIE067564,installed,1725897954,Mejia TPS Domestic
ISKIE067716,installed,1725897954,Mejia TPS Domestic
ISKIE067566,installed,1725897954,Mejia TPS Domestic
ISKIE067694,installed,1725897955,Mejia TPS Domestic
ISKIE067162,installed,1725897955,Mejia TPS Domestic
ISKIE067383,installed,1725523785,Mejia TPS Domestic
ISKIE067715,installed,1725897956,Mejia TPS Domestic
ISKIE067288,installed,,Mejia TPS Domestic
ISKIE067069,installed,1725897956,Mejia TPS Domestic
ISKIE067576,installed,1725782872,Mejia TPS Domestic
ISKIE067290,installed,1725897957,Mejia TPS Domestic
ISKIE067068,installed,1725897957,Mejia TPS Domestic
ISKIE067695,installed,1725897968,Mejia TPS Domestic
ISKIE067289,installed,1725897968,Mejia TPS Domestic
ISKIE067291,installed,1725897969,Mejia TPS Domestic
ISKIE067292,installed,1725897969,Mejia TPS Domestic
ISKIE067106,installed,1725897969,Mejia TPS Domestic
ISKIE067105,installed,1725897970,Mejia TPS Domestic
ISKIE067164,installed,1725897970,Mejia TPS Domestic
ISKIE067103,installed,1725897970,Mejia TPS Domestic
ISKIE067508,installed,1725897971,Mejia TPS Domestic
ISKIE067104,installed,1725897971,Mejia TPS Domestic
ISKIE067152,installed,1725897984,Mejia TPS Domestic
ISKIE067107,installed,1725897984,Mejia TPS Domestic
ISKIE067588,installed,1725897985,Mejia TPS Domestic
ISKIE067510,installed,,Mejia TPS Domestic
ISKIE067509,installed,1725897985,Mejia TPS Domestic
ISKIE067512,installed,1725897986,Mejia TPS Domestic
ISKIE074912,installed,1725897986,Mejia TPS Domestic
ISKIE075012,installed,1725897986,Mejia TPS Domestic
ISKIE076293,installed,1725523809,Mejia TPS Domestic
ISKIE075404,installed,,Mejia TPS Domestic
ISKIE075561,installed,1725897987,Mejia TPS Domestic
ISKIE075008,installed,1725897988,Mejia TPS Domestic
ISKIE075196,installed,1725897988,Mejia TPS Domestic
ISKIE076146,installed,1725897988,Mejia TPS Domestic
ISKIE075052,installed,1725898063,Mejia TPS Domestic
ISKIE074785,installed,1725898063,Mejia TPS Domestic
ISKIE075378,installed,1725898074,Mejia TPS Domestic
ISKIE074787,installed,1725898074,Mejia TPS Domestic
ISKIE075037,installed,1725898075,Mejia TPS Domestic
ISKIE075276,installed,1725898075,Mejia TPS Domestic
ISKIE075700,installed,1725898075,Mejia TPS Domestic
ISKIE075010,installed,,Mejia TPS Domestic
ISKIE075568,installed,1725898076,Mejia TPS Domestic
ISKIE074942,installed,1725898076,Mejia TPS Domestic
ISKIE075488,installed,1723543012,Mejia TPS Domestic
ISKIE075976,installed,1725898077,Mejia TPS Domestic
ISKIE074969,installed,1725291729,Mejia TPS Domestic
ISKIE074911,installed,1725898090,Mejia TPS Domestic
ISKIE075703,installed,1725898090,Mejia TPS Domestic
ISKIE075852,installed,,Mejia TPS Domestic
ISKIE075523,installed,1725898091,Mejia TPS Domestic
ISKIE075304,installed,1725610137,Mejia TPS Domestic
ISKIE075862,installed,1725898092,Mejia TPS Domestic
ISKIE076144,installed,1725538118,Mejia TPS Domestic
ISKIE075859,installed,,Mejia TPS Domestic
ISKIE075048,installed,1725898093,Mejia TPS Domestic
ISKIE075960,installed,1725869335,Mejia TPS Domestic
ISKIE074963,installed,1725898105,Mejia TPS Domestic
ISKIE075440,installed,1725898105,Mejia TPS Domestic
ISKIE076228,installed,1725898106,Mejia TPS Domestic
ISKIE075694,installed,,Mejia TPS Domestic
ISKIE075503,installed,1725898106,Mejia TPS Domestic
ISKIE076077,installed,1725898107,Mejia TPS Domestic
ISKIE075036,installed,1725898107,Mejia TPS Domestic
ISKIE076194,installed,1725898107,Mejia TPS Domestic
ISKIE075699,installed,1725898107,Mejia TPS Domestic
ISKIE075251,installed,1725898108,Mejia TPS Domestic
ISKIE076074,installed,,Mejia TPS Domestic
ISKIE075697,installed,1725898152,Mejia TPS Domestic
ISKIE075686,installed,1725898152,Mejia TPS Domestic
ISKIE076176,installed,1723543012,Mejia TPS Domestic
ISKIE075701,installed,1725898153,Mejia TPS Domestic
ISKIE074909,installed,1725898153,Mejia TPS Domestic
ISKIE075049,installed,1725898153,Mejia TPS Domestic
ISKIE075050,installed,1725898154,Mejia TPS Domestic
ISKIE074784,installed,1725869461,Mejia TPS Domestic
ISKIE075974,installed,1725898154,Mejia TPS Domestic
ISKIE075053,installed,1725898155,Mejia TPS Domestic
ISKIE075973,installed,1725898155,Mejia TPS Domestic
ISKIE075587,installed,1725898155,Mejia TPS Domestic
ISKIE075693,installed,1725898177,Mejia TPS Domestic
ISKIE075572,installed,1725898178,Mejia TPS Domestic
ISKIE074852,installed,1725898178,Mejia TPS Domestic
ISKIE075011,installed,1725898178,Mejia TPS Domestic
ISKIE076287,installed,1725898178,Mejia TPS Domestic
ISKIE075977,installed,1725898179,Mejia TPS Domestic
ISKIE074910,installed,1725898179,Mejia TPS Domestic
ISKIE075009,installed,1725898179,Mejia TPS Domestic
ISKIE076075,installed,1725898180,Mejia TPS Domestic
ISKIE074783,installed,1725898180,Mejia TPS Domestic
