registerId,value,unit,measuredAt,device,profile,groupName
1-0:1.8.0*255,8456.326,kWh,,ISKIE070718,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,10809.069,kWh,,ISKIE070836,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,12759.363,kWh,,ISKIE070837,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,6102.969,kWh,,ISKIE070835,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,1428.809,kWh,,ISKIE070834,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,8526.982,kWh,,ISKIE070833,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2930.569,kWh,,ISKIE070863,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,6491.635,kWh,,ISKIE070784,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2163.514,kWh,,ISKIE070814,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2226.704,kWh,,ISKIE070774,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,4757.03,kWh,,ISKIE070879,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2118.557,kWh,,ISKIE070773,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,6425.516,kWh,,ISKIE070742,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,1673.55,kWh,,ISKIE070740,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,7670.02,kWh,,ISKIE070432,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,4280.056,kWh,,ISKIE070429,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2820.355,kWh,,ISKIE070868,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,3933.819,kWh,,ISKIE070428,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,6138.075,kWh,,ISKIE070871,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,6056.856,kWh,,ISKIE070786,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,8098.524,kWh,,ISKIE070775,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,11589.804,kWh,,ISKIE070865,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,4495.697,kWh,,ISKIE070430,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,4261.929,kWh,,ISKIE070870,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,4884.977,kWh,,ISKIE076984,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2055.984,kWh,,ISKIE070817,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,3289.33,kWh,,ISKIE070813,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2562.677,kWh,,ISKIE070709,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,1943.713,kWh,,ISKIE070712,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2107.212,kWh,,ISKIE070855,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,4057.954,kWh,,ISKIE070708,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,21306.856,kWh,,ISKIE076987,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,5139.106,kWh,,ISKIE070857,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,818.425,kWh,,ISKIE070866,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,3247.055,kWh,,ISKIE070783,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2570.999,kWh,,ISKIE070853,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2605.431,kWh,,ISKIE070719,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,7040.705,kWh,,ISKIE070690,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,5704.344,kWh,,ISKIE076986,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,6600.943,kWh,,ISKIE076983,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2569.107,kWh,,ISKIE070867,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,9024.382,kWh,,ISKIE070780,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,14362.18,kWh,,ISKIE070779,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,5880.804,kWh,,ISKIE070720,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,7371.115,kWh,,ISKIE070722,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,3523.859,kWh,,ISKIE070880,1-0:98.1.0*255,Panchet Domestic
