groupName,device,isDataAvailable,measuredAt
Raghunathpur TPS Domestic,ISKIE074336,True,
Raghunathpur TPS Domestic,ISKIE067908,False,2024-09-30T18:31:00Z
Raghunathpur TPS Domestic,ISKIE074476,True,
Raghunathpur TPS Domestic,ISKIE074221,True,
Raghunathpur TPS Domestic,ISKIE074155,True,
Raghunathpur TPS Domestic,ISKIE074607,True,
Raghunathpur TPS Domestic,ISKIE074375,True,
Raghunathpur TPS Domestic,ISKIE074517,True,
Raghunathpur TPS Domestic,ISKIE074378,True,
Raghunathpur TPS Domestic,ISKIE074483,True,
Raghunathpur TPS Domestic,ISKIE074230,True,
Raghunathpur TPS Domestic,ISKIE074153,True,
