registerId,value,unit,measuredAt,device,profile,groupName
1-0:9.8.0*255,2979.01,kVAh,,ISKIE070847,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,4763.422,kVAh,,ISKIE070737,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,3671.598,kVAh,,ISKIE070710,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,3810.459,kVAh,,ISKIE076927,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,4225.681,kVAh,,ISKIE070869,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,1271.961,kVAh,,ISKIE070846,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,10022.793,kVAh,,ISKIE070736,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,9461.743,kVAh,,ISKIE070733,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,5371.074,kVAh,,ISKIE070845,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,5567.757,kVAh,,ISKIE070771,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2918.361,kVAh,,ISKIE070749,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,1240.641,kVAh,,ISKIE070805,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,547.728,kVAh,,ISKIE076911,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,5736.108,kVAh,,ISKIE076964,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,1001.902,kVAh,,ISKIE077195,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,1258.318,kVAh,,ISKIE077196,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,620.049,kVAh,,ISKIE076905,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,6012.172,kVAh,,ISKIE077158,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,6271.833,kVAh,,ISKIE077155,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,1182.016,kVAh,,ISKIE076923,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2735.048,kVAh,,ISKIE076924,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,140.593,kVAh,,ISKIE070824,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,4462.078,kVAh,,ISKIE076963,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,7850.949,kVAh,,ISKIE076967,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,6010.371,kVAh,,ISKIE070706,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,6564.657,kVAh,,ISKIE077172,1-0:98.1.0*255,Panchet Domestic
